date,mental health,happiness,stress,anxiety,well-being,isPartial
2009-01-31,31.0,32.0,69.0,31.0,1.0,0.0
2009-02-28,33.0,34.0,81.0,32.0,1.0,0.0
2009-03-31,34.0,33.0,83.0,33.0,1.0,0.0
2009-04-30,35.0,34.0,85.0,35.0,1.0,0.0
2009-05-31,32.0,34.0,83.0,32.0,1.0,0.0
2009-06-30,30.0,33.0,72.0,31.0,1.0,0.0
2009-07-31,30.0,32.0,69.0,32.0,1.0,0.0
2009-08-31,30.0,33.0,67.0,33.0,1.0,0.0
2009-09-30,32.0,38.0,72.0,34.0,1.0,0.0
2009-10-31,33.0,39.0,77.0,35.0,1.0,0.0
2009-11-30,32.0,40.0,83.0,35.0,1.0,0.0
2009-12-31,26.0,44.0,69.0,34.0,1.0,0.0
2010-01-31,30.0,46.0,71.0,36.0,1.0,0.0
2010-02-28,32.0,47.0,77.0,35.0,1.0,0.0
2010-03-31,33.0,51.0,79.0,36.0,1.0,0.0
2010-04-30,31.0,50.0,78.0,36.0,1.0,0.0
2010-05-31,32.0,48.0,76.0,35.0,1.0,0.0
2010-06-30,30.0,43.0,70.0,34.0,1.0,0.0
2010-07-31,28.0,45.0,71.0,36.0,1.0,0.0
2010-08-31,29.0,48.0,68.0,36.0,1.0,0.0
2010-09-30,30.0,48.0,73.0,37.0,1.0,0.0
2010-10-31,31.0,47.0,77.0,35.0,1.0,0.0
2010-11-30,30.0,51.0,75.0,37.0,1.0,0.0
2010-12-31,24.0,50.0,68.0,33.0,1.0,0.0
2011-01-31,30.0,50.0,71.0,38.0,1.0,0.0
2011-02-28,29.0,49.0,72.0,37.0,1.0,0.0
2011-03-31,32.0,50.0,77.0,40.0,1.0,0.0
2011-04-30,30.0,51.0,78.0,38.0,1.0,0.0
2011-05-31,29.0,48.0,75.0,37.0,1.0,0.0
2011-06-30,28.0,44.0,67.0,36.0,1.0,0.0
2011-07-31,25.0,45.0,64.0,37.0,1.0,0.0
2011-08-31,26.0,47.0,62.0,40.0,1.0,0.0
2011-09-30,27.0,45.0,71.0,40.0,1.0,0.0
2011-10-31,27.0,47.0,78.0,41.0,1.0,0.0
2011-11-30,28.0,47.0,77.0,41.0,1.0,0.0
2011-12-31,22.0,46.0,68.0,37.0,1.0,0.0
2012-01-31,26.0,47.0,67.0,44.0,1.0,0.0
2012-02-29,28.0,47.0,77.0,48.0,1.0,0.0
2012-03-31,28.0,49.0,84.0,45.0,1.0,0.0
2012-04-30,28.0,47.0,76.0,45.0,1.0,0.0
2012-05-31,28.0,45.0,72.0,42.0,1.0,0.0
2012-06-30,26.0,47.0,67.0,41.0,1.0,0.0
2012-07-31,26.0,47.0,63.0,44.0,1.0,0.0
2012-08-31,26.0,45.0,67.0,45.0,1.0,0.0
2012-09-30,27.0,46.0,72.0,45.0,1.0,0.0
2012-10-31,29.0,46.0,77.0,48.0,1.0,0.0
2012-11-30,27.0,45.0,73.0,44.0,1.0,0.0
2012-12-31,23.0,48.0,63.0,41.0,1.0,0.0
2013-01-31,28.0,47.0,66.0,47.0,1.0,0.0
2013-02-28,30.0,49.0,76.0,47.0,1.0,0.0
2013-03-31,29.0,47.0,74.0,48.0,1.0,0.0
2013-04-30,30.0,44.0,77.0,50.0,1.0,0.0
2013-05-31,28.0,41.0,71.0,47.0,1.0,0.0
2013-06-30,26.0,41.0,67.0,46.0,1.0,0.0
2013-07-31,26.0,41.0,67.0,46.0,1.0,0.0
2013-08-31,28.0,41.0,64.0,49.0,1.0,0.0
2013-09-30,28.0,42.0,72.0,49.0,1.0,0.0
2013-10-31,31.0,41.0,79.0,50.0,1.0,0.0
2013-11-30,29.0,42.0,76.0,47.0,1.0,0.0
2013-12-31,23.0,41.0,65.0,46.0,1.0,0.0
2014-01-31,29.0,43.0,71.0,54.0,1.0,0.0
2014-02-28,30.0,44.0,77.0,52.0,1.0,0.0
2014-03-31,29.0,46.0,78.0,52.0,1.0,0.0
2014-04-30,29.0,41.0,75.0,53.0,1.0,0.0
2014-05-31,28.0,39.0,72.0,48.0,1.0,0.0
2014-06-30,27.0,38.0,64.0,45.0,1.0,0.0
2014-07-31,26.0,36.0,63.0,49.0,1.0,0.0
2014-08-31,27.0,41.0,64.0,52.0,1.0,0.0
2014-09-30,29.0,38.0,76.0,51.0,1.0,0.0
2014-10-31,32.0,39.0,82.0,53.0,1.0,0.0
2014-11-30,29.0,40.0,77.0,51.0,1.0,0.0
2014-12-31,23.0,41.0,66.0,48.0,1.0,0.0
2015-01-31,29.0,41.0,64.0,52.0,1.0,0.0
2015-02-28,30.0,38.0,75.0,55.0,1.0,0.0
2015-03-31,30.0,41.0,82.0,58.0,1.0,0.0
2015-04-30,30.0,38.0,77.0,56.0,1.0,0.0
2015-05-31,28.0,36.0,74.0,52.0,1.0,0.0
2015-06-30,28.0,34.0,69.0,52.0,1.0,0.0
2015-07-31,27.0,35.0,62.0,55.0,1.0,0.0
2015-08-31,27.0,38.0,65.0,58.0,1.0,0.0
2015-09-30,31.0,37.0,75.0,60.0,1.0,0.0
2015-10-31,33.0,38.0,79.0,64.0,1.0,0.0
2015-11-30,31.0,37.0,77.0,61.0,1.0,0.0
2015-12-31,26.0,40.0,70.0,59.0,1.0,0.0
2016-01-31,30.0,35.0,71.0,60.0,1.0,0.0
2016-02-29,34.0,37.0,75.0,62.0,1.0,0.0
2016-03-31,32.0,38.0,80.0,63.0,1.0,0.0
2016-04-30,33.0,34.0,77.0,70.0,1.0,0.0
2016-05-31,33.0,34.0,75.0,62.0,1.0,0.0
2016-06-30,29.0,32.0,70.0,61.0,1.0,0.0
2016-07-31,27.0,32.0,63.0,60.0,1.0,0.0
2016-08-31,28.0,31.0,65.0,62.0,1.0,0.0
2016-09-30,33.0,36.0,75.0,69.0,1.0,0.0
2016-10-31,37.0,33.0,79.0,65.0,1.0,0.0
2016-11-30,34.0,34.0,83.0,66.0,1.0,0.0
2016-12-31,27.0,36.0,72.0,63.0,1.0,0.0
2017-01-31,34.0,35.0,76.0,74.0,1.0,0.0
2017-02-28,36.0,35.0,76.0,70.0,1.0,0.0
2017-03-31,38.0,35.0,84.0,73.0,1.0,0.0
2017-04-30,37.0,32.0,84.0,74.0,1.0,0.0
2017-05-31,38.0,31.0,79.0,70.0,1.0,0.0
2017-06-30,32.0,29.0,69.0,65.0,1.0,0.0
2017-07-31,31.0,31.0,66.0,66.0,1.0,0.0
2017-08-31,32.0,30.0,70.0,68.0,1.0,0.0
2017-09-30,35.0,32.0,79.0,72.0,1.0,0.0
2017-10-31,46.0,33.0,87.0,76.0,1.0,0.0
2017-11-30,38.0,32.0,84.0,73.0,1.0,0.0
2017-12-31,30.0,34.0,74.0,68.0,1.0,0.0
2018-01-31,37.0,35.0,74.0,71.0,1.0,0.0
2018-02-28,40.0,35.0,79.0,77.0,1.0,0.0
2018-03-31,39.0,36.0,82.0,76.0,1.0,0.0
2018-04-30,40.0,31.0,83.0,75.0,1.0,0.0
2018-05-31,42.0,30.0,77.0,71.0,1.0,0.0
2018-06-30,39.0,29.0,70.0,71.0,1.0,0.0
2018-07-31,35.0,29.0,66.0,72.0,1.0,0.0
2018-08-31,38.0,31.0,70.0,77.0,1.0,0.0
2018-09-30,41.0,31.0,80.0,85.0,1.0,0.0
2018-10-31,53.0,30.0,84.0,78.0,1.0,0.0
2018-11-30,45.0,31.0,84.0,77.0,1.0,0.0
2018-12-31,36.0,30.0,74.0,76.0,1.0,0.0
2019-01-31,42.0,30.0,76.0,79.0,1.0,0.0
2019-02-28,45.0,30.0,81.0,82.0,1.0,0.0
2019-03-31,44.0,33.0,84.0,91.0,1.0,0.0
2019-04-30,46.0,30.0,81.0,81.0,1.0,0.0
2019-05-31,49.0,29.0,78.0,77.0,1.0,0.0
2019-06-30,41.0,32.0,71.0,76.0,1.0,0.0
2019-07-31,40.0,32.0,73.0,77.0,1.0,0.0
2019-08-31,41.0,31.0,75.0,85.0,1.0,0.0
2019-09-30,48.0,33.0,82.0,81.0,1.0,0.0
2019-10-31,63.0,32.0,87.0,82.0,1.0,0.0
2019-11-30,48.0,32.0,87.0,89.0,1.0,0.0
2019-12-31,38.0,30.0,74.0,74.0,1.0,0.0
2020-01-31,46.0,30.0,76.0,82.0,1.0,0.0
2020-02-29,50.0,30.0,86.0,83.0,1.0,0.0
2020-03-31,43.0,31.0,81.0,82.0,1.0,0.0
2020-04-30,45.0,31.0,78.0,81.0,2.0,0.0
2020-05-31,51.0,34.0,76.0,81.0,1.0,0.0
2020-06-30,45.0,30.0,75.0,82.0,1.0,0.0
2020-07-31,45.0,30.0,74.0,86.0,1.0,0.0
2020-08-31,44.0,29.0,73.0,88.0,1.0,0.0
2020-09-30,52.0,32.0,87.0,88.0,2.0,0.0
2020-10-31,61.0,30.0,87.0,86.0,2.0,0.0
2020-11-30,45.0,30.0,84.0,77.0,1.0,0.0
2020-12-31,38.0,35.0,78.0,78.0,1.0,0.0
2021-01-31,44.0,36.0,80.0,84.0,1.0,0.0
