date,Facebook,Instagram,TikTok,Twitter,Snapchat,isPartial
2009-01-31,27.0,0.0,0.0,0.0,0.0,0.0
2009-02-28,28.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,30.0,0.0,0.0,1.0,0.0,0.0
2009-04-30,33.0,0.0,0.0,1.0,0.0,0.0
2009-05-31,35.0,0.0,0.0,1.0,0.0,0.0
2009-06-30,38.0,0.0,0.0,2.0,0.0,0.0
2009-07-31,41.0,0.0,0.0,2.0,0.0,0.0
2009-08-31,45.0,0.0,0.0,2.0,0.0,0.0
2009-09-30,48.0,0.0,0.0,2.0,0.0,0.0
2009-10-31,50.0,0.0,0.0,2.0,0.0,0.0
2009-11-30,54.0,0.0,0.0,2.0,0.0,0.0
2009-12-31,56.0,0.0,0.0,2.0,0.0,0.0
2010-01-31,58.0,0.0,0.0,2.0,0.0,0.0
2010-02-28,59.0,0.0,0.0,2.0,0.0,0.0
2010-03-31,64.0,0.0,0.0,2.0,0.0,0.0
2010-04-30,65.0,0.0,0.0,2.0,0.0,0.0
2010-05-31,64.0,0.0,0.0,2.0,0.0,0.0
2010-06-30,67.0,0.0,0.0,3.0,0.0,0.0
2010-07-31,69.0,0.0,0.0,3.0,0.0,0.0
2010-08-31,67.0,0.0,0.0,3.0,0.0,0.0
2010-09-30,68.0,0.0,0.0,3.0,0.0,0.0
2010-10-31,71.0,0.0,0.0,3.0,0.0,0.0
2010-11-30,73.0,0.0,0.0,3.0,0.0,0.0
2010-12-31,76.0,0.0,0.0,3.0,0.0,0.0
2011-01-31,77.0,0.0,0.0,3.0,0.0,0.0
2011-02-28,78.0,0.0,0.0,3.0,0.0,0.0
2011-03-31,76.0,0.0,0.0,4.0,0.0,0.0
2011-04-30,82.0,0.0,0.0,4.0,0.0,0.0
2011-05-31,73.0,0.0,0.0,4.0,0.0,0.0
2011-06-30,79.0,0.0,0.0,4.0,0.0,0.0
2011-07-31,80.0,0.0,0.0,5.0,0.0,0.0
2011-08-31,81.0,0.0,0.0,5.0,0.0,0.0
2011-09-30,83.0,0.0,0.0,4.0,0.0,0.0
2011-10-31,81.0,0.0,0.0,4.0,0.0,0.0
2011-11-30,76.0,0.0,0.0,5.0,0.0,0.0
2011-12-31,81.0,0.0,0.0,5.0,0.0,0.0
2012-01-31,81.0,0.0,0.0,5.0,0.0,0.0
2012-02-29,77.0,0.0,0.0,5.0,0.0,0.0
2012-03-31,80.0,0.0,0.0,5.0,0.0,0.0
2012-04-30,79.0,1.0,0.0,5.0,0.0,0.0
2012-05-31,79.0,0.0,0.0,5.0,0.0,0.0
2012-06-30,81.0,0.0,0.0,5.0,0.0,0.0
2012-07-31,81.0,1.0,0.0,5.0,0.0,0.0
2012-08-31,78.0,1.0,0.0,5.0,0.0,0.0
2012-09-30,79.0,1.0,0.0,5.0,0.0,0.0
2012-10-31,95.0,1.0,0.0,6.0,0.0,0.0
2012-11-30,99.0,1.0,0.0,6.0,0.0,0.0
2012-12-31,100.0,1.0,0.0,6.0,0.0,0.0
2013-01-31,96.0,1.0,0.0,6.0,0.0,0.0
2013-02-28,91.0,1.0,0.0,5.0,0.0,0.0
2013-03-31,97.0,1.0,0.0,5.0,0.0,0.0
2013-04-30,95.0,1.0,0.0,5.0,0.0,0.0
2013-05-31,95.0,1.0,0.0,5.0,0.0,0.0
2013-06-30,90.0,2.0,0.0,6.0,0.0,0.0
2013-07-31,95.0,2.0,0.0,6.0,0.0,0.0
2013-08-31,92.0,2.0,0.0,5.0,0.0,0.0
2013-09-30,87.0,2.0,0.0,5.0,0.0,0.0
2013-10-31,83.0,2.0,0.0,5.0,0.0,0.0
2013-11-30,83.0,2.0,0.0,5.0,0.0,0.0
2013-12-31,80.0,2.0,0.0,5.0,0.0,0.0
2014-01-31,75.0,2.0,0.0,5.0,0.0,0.0
2014-02-28,75.0,2.0,0.0,5.0,0.0,0.0
2014-03-31,75.0,2.0,0.0,5.0,0.0,0.0
2014-04-30,74.0,2.0,0.0,4.0,0.0,0.0
2014-05-31,73.0,2.0,0.0,4.0,0.0,0.0
2014-06-30,73.0,2.0,0.0,4.0,0.0,0.0
2014-07-31,73.0,3.0,0.0,4.0,0.0,0.0
2014-08-31,72.0,3.0,0.0,4.0,0.0,0.0
2014-09-30,68.0,2.0,0.0,4.0,0.0,0.0
2014-10-31,68.0,3.0,0.0,4.0,0.0,0.0
2014-11-30,63.0,2.0,0.0,3.0,0.0,0.0
2014-12-31,62.0,3.0,0.0,4.0,0.0,0.0
2015-01-31,62.0,3.0,0.0,3.0,0.0,0.0
2015-02-28,61.0,3.0,0.0,3.0,0.0,0.0
2015-03-31,56.0,3.0,0.0,3.0,0.0,0.0
2015-04-30,58.0,3.0,0.0,3.0,1.0,0.0
2015-05-31,60.0,3.0,0.0,3.0,0.0,0.0
2015-06-30,57.0,3.0,0.0,3.0,1.0,0.0
2015-07-31,58.0,3.0,0.0,3.0,1.0,0.0
2015-08-31,56.0,3.0,0.0,3.0,1.0,0.0
2015-09-30,54.0,3.0,0.0,3.0,1.0,0.0
2015-10-31,56.0,3.0,0.0,3.0,1.0,0.0
2015-11-30,54.0,3.0,0.0,3.0,1.0,0.0
2015-12-31,51.0,3.0,0.0,3.0,1.0,0.0
2016-01-31,56.0,3.0,0.0,3.0,1.0,0.0
2016-02-29,55.0,3.0,0.0,3.0,1.0,0.0
2016-03-31,54.0,3.0,0.0,3.0,1.0,0.0
2016-04-30,54.0,3.0,0.0,3.0,1.0,0.0
2016-05-31,54.0,3.0,0.0,3.0,1.0,0.0
2016-06-30,52.0,3.0,0.0,3.0,1.0,0.0
2016-07-31,52.0,4.0,0.0,3.0,1.0,0.0
2016-08-31,50.0,3.0,0.0,3.0,1.0,0.0
2016-09-30,48.0,3.0,0.0,3.0,1.0,0.0
2016-10-31,46.0,3.0,0.0,3.0,1.0,0.0
2016-11-30,44.0,3.0,0.0,3.0,1.0,0.0
2016-12-31,43.0,4.0,0.0,3.0,1.0,0.0
2017-01-31,42.0,4.0,0.0,3.0,1.0,0.0
2017-02-28,40.0,4.0,0.0,3.0,1.0,0.0
2017-03-31,39.0,4.0,0.0,3.0,1.0,0.0
2017-04-30,40.0,4.0,0.0,3.0,1.0,0.0
2017-05-31,40.0,4.0,0.0,3.0,1.0,0.0
2017-06-30,39.0,4.0,0.0,3.0,1.0,0.0
2017-07-31,39.0,4.0,0.0,3.0,1.0,0.0
2017-08-31,40.0,4.0,0.0,3.0,1.0,0.0
2017-09-30,39.0,4.0,0.0,3.0,1.0,0.0
2017-10-31,38.0,4.0,0.0,3.0,0.0,0.0
2017-11-30,33.0,4.0,0.0,3.0,1.0,0.0
2017-12-31,32.0,4.0,0.0,3.0,1.0,0.0
2018-01-31,32.0,5.0,0.0,3.0,1.0,0.0
2018-02-28,32.0,5.0,0.0,3.0,1.0,0.0
2018-03-31,30.0,5.0,0.0,3.0,0.0,0.0
2018-04-30,29.0,5.0,0.0,3.0,0.0,0.0
2018-05-31,27.0,5.0,0.0,3.0,0.0,0.0
2018-06-30,26.0,5.0,0.0,3.0,0.0,0.0
2018-07-31,26.0,5.0,0.0,3.0,0.0,0.0
2018-08-31,26.0,5.0,0.0,3.0,0.0,0.0
2018-09-30,23.0,5.0,0.0,3.0,0.0,0.0
2018-10-31,23.0,5.0,0.0,3.0,0.0,0.0
2018-11-30,23.0,5.0,0.0,3.0,0.0,0.0
2018-12-31,22.0,5.0,0.0,3.0,0.0,0.0
2019-01-31,22.0,5.0,0.0,3.0,0.0,0.0
2019-02-28,20.0,5.0,0.0,3.0,0.0,0.0
2019-03-31,21.0,5.0,0.0,3.0,0.0,0.0
2019-04-30,20.0,5.0,0.0,3.0,0.0,0.0
2019-05-31,21.0,5.0,0.0,3.0,0.0,0.0
2019-06-30,21.0,6.0,0.0,3.0,0.0,0.0
2019-07-31,21.0,6.0,0.0,3.0,0.0,0.0
2019-08-31,19.0,6.0,0.0,3.0,0.0,0.0
2019-09-30,18.0,6.0,1.0,3.0,0.0,0.0
2019-10-31,19.0,6.0,0.0,3.0,0.0,0.0
2019-11-30,19.0,5.0,0.0,3.0,0.0,0.0
2019-12-31,19.0,5.0,0.0,3.0,0.0,0.0
2020-01-31,18.0,6.0,0.0,3.0,0.0,0.0
2020-02-29,18.0,5.0,0.0,3.0,0.0,0.0
2020-03-31,18.0,6.0,1.0,4.0,0.0,0.0
2020-04-30,19.0,6.0,1.0,4.0,0.0,0.0
2020-05-31,17.0,6.0,1.0,4.0,0.0,0.0
2020-06-30,17.0,6.0,1.0,4.0,0.0,0.0
2020-07-31,17.0,6.0,1.0,4.0,0.0,0.0
2020-08-31,17.0,6.0,1.0,4.0,0.0,0.0
2020-09-30,16.0,6.0,1.0,4.0,0.0,0.0
2020-10-31,16.0,6.0,1.0,4.0,0.0,0.0
2020-11-30,15.0,6.0,1.0,4.0,0.0,0.0
2020-12-31,15.0,6.0,1.0,4.0,0.0,0.0
2021-01-31,15.0,6.0,1.0,4.0,0.0,0.0
2021-02-28,14.0,6.0,1.0,4.0,0.0,0.0
2021-03-31,14.0,5.0,1.0,4.0,0.0,0.0
2021-04-30,14.0,6.0,2.0,4.0,0.0,0.0
2021-05-31,14.0,6.0,2.0,4.0,0.0,0.0
2021-06-30,13.0,5.0,2.0,3.0,0.0,0.0
2021-07-31,13.0,6.0,2.0,4.0,0.0,0.0
2021-08-31,13.0,6.0,2.0,4.0,0.0,0.0
2021-09-30,12.0,5.0,2.0,3.0,0.0,0.0
2021-10-31,13.0,6.0,2.0,3.0,0.0,0.0
2021-11-30,12.0,5.0,2.0,4.0,0.0,0.0
2021-12-31,12.0,6.0,2.0,4.0,0.0,0.0
2022-01-31,11.0,5.0,2.0,3.0,0.0,0.0
